1480547257.000000, 1480547257.000000, 1480547257.000000
32.000000, 32.000000, 32.000000
12,63,-17
9,63,-17
7,60,-15
7,61,-14
6,62,-16
6,62,-14
5,63,-15
5,63,-17
5,61,-16
4,60,-20
5,57,-21
5,59,-21
4,59,-21
3,60,-21
1,65,-19
0,63,-17
-3,63,-19
-3,67,-23
-3,66,-24
-3,66,-24
-5,63,-25
-8,64,-24
-5,58,-24
-3,56,-22
-4,59,-21
-5,63,-21
-6,60,-22
-8,62,-22
-10,66,-19
-3,68,-18
-4,71,-16
-4,66,-17
-6,63,-17
-8,63,-16
-9,64,-17
-9,63,-16
-11,63,-16
-13,62,-16
-14,62,-17
-11,59,-13
-11,60,-14
-10,65,-19
-8,59,-14
-13,62,-19
-17,62,-15
-18,62,-13
-21,65,-11
-23,65,-13
-22,60,-12
-21,62,-12
-21,62,-9
-20,63,-4
-16,58,5
-18,58,5
-17,56,9
-17,56,9
-17,53,9
-19,49,7
-21,52,3
-19,55,1
-20,57,-2
-19,57,-1
-18,63,0
-21,66,0
-27,74,-1
-25,84,-13
-21,81,-18
-20,73,-14
-14,73,-15
-19,71,-24
-22,50,6
-20,40,35
-27,32,48
-43,19,44
-44,5,42
-33,-1,42
-30,2,41
-16,-14,56
-9,-7,63
-8,1,65
-12,-4,66
-18,9,58
-19,8,59
-24,0,61
-25,1,58
-23,11,59
-25,12,63
-26,10,64
-25,5,66
-27,0,64
-21,1,64
-21,3,59
-21,-1,54
-17,-2,60
-19,-4,59
-18,-3,57
-16,-1,57
-14,1,61
-8,-2,71
-16,4,72
-20,1,64
-20,-4,55
-19,0,59
-21,-2,62
-21,-5,57
-17,-2,59
-7,1,65
-2,6,73
-7,7,68
-10,1,60
-14,-5,60
-23,-7,60
-29,-9,56
-29,-13,60
-27,-2,65
-23,-1,56
-22,-3,53
-19,-1,63
-19,-2,64
-18,-4,59
-12,-2,65
-10,-6,66
-11,4,76
-19,1,72
-22,-7,56
-21,-1,59
-23,-4,58
-24,-9,54
-22,-8,54
-19,-7,56
-11,-8,59
-8,-11,60
-3,-5,63
0,-4,67
1,-6,65
3,-4,79
-4,-7,73
-4,-8,65
0,-11,58
1,-8,60
0,-7,63
-4,-6,63
-5,-7,63
-6,-1,63
-9,4,63
-10,7,59
-17,18,60
-17,18,58
-20,17,47
-31,32,49
-33,34,48
-32,26,43
-36,24,43
-36,26,39
-35,26,41
-39,27,43
-42,28,39
-46,30,38
